Approval,Debt-to-Income Ratio,FICO Score,Request Amount,Interest
T,0.21,675,6000,2700
F,0.15,666,33000,14850
T,0.1,700,3000,1350
F,0.22,650,23000,10350
T,0.21,681,5000,2250
T,0.22,710,15000,6750
F,0.03,635,1000,450
F,0.03,666,3000,1350
T,0.22,681,25000,11250
T,0.15,669,10000,4500
T,0.11,713,10000,4500
T,0.05,667,37000,16650
F,0.1,652,10000,4500
T,0.04,678,4000,1800
F,0.31,707,15000,6750
T,0.07,717,5000,2250
F,0.33,697,35000,15750
T,0.15,678,2000,900
F,0.09,527,2000,900
T,0.1,770,25000,11250
T,0.16,705,1000,450
T,0.13,667,25000,11250
F,0.45,700,19000,8550
F,0.26,445,4000,1800
T,0.03,706,19000,8550
T,0.06,719,9000,4050
T,0.07,737,10000,4500
T,0.29,694,19000,8550
T,0.13,727,16000,7200
T,0.15,674,12000,5400
T,0.08,675,7000,3150
T,0.16,706,28000,12600
F,0.03,646,33000,14850
F,0.71,555,4000,1800
T,0.34,696,9000,4050
F,0.04,668,1000,450
T,0.06,771,6000,2700
F,0.37,701,27000,12150
F,0.17,680,28000,12600
F,0.17,730,16000,7200
T,0.18,773,4000,1800
T,0.02,732,21000,9450
T,0.13,740,22000,9900
F,0.62,749,12000,5400
T,0.12,670,8000,3600
T,0.08,772,8000,3600
F,0.38,684,8000,3600
T,0.21,676,13000,5850
T,0.12,724,13000,5850
T,0.24,711,12000,5400
T,0.06,713,17000,7650
T,0.09,677,9000,4050
T,0.21,698,4000,1800
T,0.3,715,10000,4500
T,0.08,759,12000,5400
F,0.1,651,35000,15750
T,0.2,688,8000,3600
F,0.21,758,24000,10800
T,0.2,787,15000,6750
F,0.11,645,22000,9900
T,0.2,666,31000,13950
T,0.08,675,5000,2250
F,0.27,685,12000,5400
T,0.23,733,14000,6300
F,0.22,791,11000,4950
T,0.06,696,1000,450
T,0.01,664,2000,900
T,0.08,734,8000,3600
T,0.18,688,19000,8550
F,0.26,587,12000,5400
T,0.02,781,10000,4500
F,0.15,412,500,225
T,0.19,706,11000,4950
F,0.39,463,3000,1350
F,0.17,603,5000,2250
T,0.14,718,3000,1350
F,0.12,503,2000,900
F,0.15,582,2000,900
T,0.09,678,8000,3600
T,0.2,665,17000,7650
F,0.15,547,3000,1350
F,0.05,718,6000,2700
T,0.16,687,37000,16650
T,0.06,682,8000,3600
T,0.28,681,7000,3150
T,0.02,672,10000,4500
F,0.04,664,10000,4500
F,0.22,680,5000,2250
T,0.17,692,1000,450
F,0.45,598,2000,900
F,0.1,621,7000,3150
F,0.15,637,20000,9000
F,0.39,702,6000,2700
F,0.1,727,28000,12600
T,0.31,672,12000,5400
T,0.15,747,15000,6750
F,0.29,491,28000,12600
T,0.14,684,12000,5400
T,0.15,682,11000,4950
F,0.05,784,25000,11250
F,0.15,643,6000,2700
T,0.08,684,13000,5850
T,0.03,665,12000,5400
F,0.02,584,4000,1800
F,0.05,682,18000,8100
F,0.02,635,2000,900
F,0.02,617,3000,1350
T,0.28,685,18000,8100
T,0.09,722,21000,9450
F,0.08,702,20000,9000
T,0.3,674,2000,900
F,0.4,650,6000,2700
T,0.24,701,27000,12150
T,0.04,763,10000,4500
T,0.11,700,34000,15300
T,0.11,780,10000,4500
T,0.14,696,4000,1800
T,0.06,722,26000,11700
F,0.39,707,25000,11250
F,0.01,585,30000,13500
