"","documents","docname","rating","day","blog"
"1","After a week of false statements, lies, and dismissive apologies, Pakistani President Pervez Musharraf now says that he is disatisfied with the probe into former Prime Minister Benazir Bhutto's death and is asking Scotland Yard for help:""One should not give a statement that's 100 percent final. That's the flaw that we suffer from,"" Musharraf said at a news conference, noting that more evidence was emerging about the attack. ""We needed more experience, maybe more forensic and technical experience that our people don't have. Therefore I thought Scotland Yard may be more helpful."" Musharraf said he also reached out to British investigators for assistance to dispel accusations that Pakistan's military or intelligence services were involved. ""We don't mind going to any extent, as nobody is involved from the government or agency side,"" he said. Speaking a week after Bhutto's assassination in a shooting and suicide bombing, Musharraf denied there had been a security lapse and implied that Bhutto, who was greeting supporters through the sunroof of her armored vehicle at the time of the attack, was partly responsible. ""Who is to be blamed for her coming out (of) her vehicle?"" he asked, adding that others in the vehicle had not been hurt in the attack.When in doubt, blame the victim.Reports in the immediate aftermath of the bombing said that as far back as November, Bhutto believed Musharraf was deliberately withholding security forces that could have made her safer. Unless he feared Bhutto more than the street riotors, I doubt whether that was really true. More likely, he didn't trust the army to protect her. And when she requested that Musharraf allow her to use western private security firms, he refused.I don't think Musharraf wanted Bhutto dead. But I think he is just too weak and indecisive to have done what was needed to protect her.","at0800300_1.text","Conservative",3,"at"
"2","I honestly don't know how either party's caucus results will play out tonight. Usually, you can get a good idea of perhaps not a winner but at least you can figure out who's up, who's down, and who's on life support.Not with the Iowa Caucuses. Races in both parties are just too close to call. So many variables. So much volatility among the voters. And the polls are whacky.As an example, here are the final two polls out on Iowa. First, ARG:Mike Huckabee 29% (23%) Mitt Romney 24% (32%) Fred Thompson 13% (7%) John McCain 11% (11%) Rudy Giuliani 8% (6%) Ron Paul 6% (6%) Duncan Hunter 4% (2%) Undecided 4% (11%) (Number in parentheses is from ARG survey taken last week)The spread between Huckabee and Romney is the margin of error which means they are virtually tied. Note Thompson's huge bump. Is he surging? Many think so although he probably doesn't have enough juice to catch either front runner for second place. But a strong third sends him along the campaign trail - despite what you might have heard about him dropping out. (Fred and his staff are denying the filthy rumor every chance they get.)Meanwhile, Zogby's daily tracking poll (three day rolling average) tells a little different story:* Huckabee - 31%* Romney - 25%* Thompson - 11%*McCain -10%Here the Huckster opens up a slight lead on Romney with Thompson and McCain far back in the pack.On the Democratic side, Obama has sprinted into the lead:Democrat Barack Obama continued his upward momentum through the evening before the Iowa caucuses, capturing the lead ahead of rivals John Edwards and Hillary Clinton.. Meanwhile, Republican Mike Hucakbee widened his lead over Mitt Romney down the stretch, the newest and last Reuters/C–SPAN/Zogby daily telephone tracking poll in Iowa shows. Obama broke through the 30% barrier for the first time, gaining 31% support after another strong day leading up to the caucuses. But more dramatic was Clinton’s four-point drop in this last day of tracking. Edwards moved into second place by himself after another day where he steadily gained ground. This fifth and final daily tracking poll was conducted using live telephone operators in the Zogby call center in Upstate New York. Edwards finished this Zogby daily tracking in Iowa in the same place as four years ago, when Zogby correctly identified the finishing order of the candidates in that caucus.Hillary Clinton has been playing down her chances the last 48 hours and could very well finish 3rd.All of this matters little in the end. The process of caucusing is complicated for the Democrats and it is possible for any of the top three candidates to win or come in third.We'll see by midnight tonight central time.","at0800300_2.text","Conservative",3,"at"
"3","While we stand in awe of the willingness of our troops in Iraq to sacrifice themselves for the Nation, the fewer that are required to do so, the better.  And the news on that front is good.  As can be seen in the chart below, our military deaths in December dropped to 23 from 37 in November.  December deaths are down over 80% (82%) from May's peak this year of 126.  Assuming this reflects a permanent change in the correlation of forces in Iraq - and it is likely that it does, although we cannot be certain of it - it reflects a tremendous achievement on the part of General Petraeus, since this is the result not of retreating from our objectives in Iraq but of advancing toward them - of executing the mission.What of Iraqi deaths?  Iraqi security forces and civilian fatalities are also down in December from November. Iraqi deaths are down only by a small amount - from 560 in November to 534 in December, although that difference is not small if you are one of the ones who are now still alive.  And the decline from this year's peak in February of 3,014 is a drop of 82%(!).Are we out of the woods in Iraq?  It would seem not.  We have General Odierno's estremely disturbing cri de coeur  at the end of November, which we can assume was endorsed by his chief, General Petraeus.  So far as we know, General Odierno's point ""A window of opportunity has opened for the government to reach out to its former foes, said Army Lt. Gen. Raymond T. Odierno, the commander of day-to-day U.S. military operations in Iraq, but ‘it's unclear how long that window is going to be open.'""has not been resolved.  While some economic indicators, such as the Iraq Stock Exchange and the value of the Iraqi dinar, are showing real strength, the status of the estimated 4 million internal and external refugees remains open, as does the high unemployment rate, estimated at over 40%.  But the fatalities figures are good news on the war-fighting front and we don't want to miss them.  Success doesn't always announce itself.   It's important not to miss it when it is achieved.","at0800300_3.text","Conservative",3,"at"
"4","These pages recently said goodbye to global warming.  Ironically, the current spell of global warming, such as it is, can be expected to end just as the Kyoto treaty ends in 2012, but having nothing to do with reduced emissions from fossil fuels.  For the remainder of this century, it will be global cooling we'll have to worry about, according to highly credentialed Russian scientist, Dr. Oleg Sorokhtin.Dr. Sorokhtin, Merited Scientist of Russia and fellow of the Russian Academy of Natural Sciences, is staff researcher of the Oceanology Institute.  He explains the recent warming as a natural trend.""Earth is now at the peak of one of its passing warm spells. It started in the 17th century when there was no industrial influence on the climate to speak of and no such thing as the hothouse effect. The current warming is evidently a natural process and utterly independent of hothouse gases.""So what will happen in the future?""Astrophysics knows two solar activity cycles, of 11 and 200 years. Both are caused by changes in the radius and area of the irradiating solar surface. The latest data, obtained by Habibullah Abdusamatov, head of the Pulkovo Observatory space research laboratory, say that Earth has passed the peak of its warmer period, and a fairly cold spell will set in quite soon, by 2012. Real cold will come when solar activity reaches its minimum, by 2041, and will last for 50-60 years or even longer.""Physical and mathematical calculations predict a new Ice Age. It will come in 100,000 years, at the earliest, and will be much worse than the previous. Europe will be ice-bound, with glaciers reaching south of Moscow.""The high standing of Dr. Sorkhtin and the inherent plausibility of his argument that climate will continue to follow the same basic causal factor, solar activity, make this another heavy blow to the heavy breathing of the global warming alarmists, who insist there is no argument at all.","at0800300_4.text","Conservative",3,"at"
"5","A US report shows how the enemy controlled the information on the battlefield in Fallujah and used this to force the US and Iraqi forces out, in the first battle there. The Belmont Club points out UPI coverage of the report by Shaun Waterman. Here is how the enemy worked: First they kidnapped reporters from major Western news sources, driving them out of the city, and leaving only Al Jazeera, Al Arabiya and local stringers controlled by the enemy as the sole sources of news. When the US returned with many embedded journalists and cut the enemy's information monopoly we won.These figures demonstrate how the insurgency purposely drove the press from the field to recreate the information monopoly they found so advantageous in the opening days of the First Fallujah, when only journalists from Al Jazeera and Al Arabiya were reporting from the scene. The kidnapping campaign compelled news outlets to rely on stringers who could then be controlled by the insurgency and who could be counted on to miraculously stumble on photo opportunities showing insurgents in action, such as the Pulitzer Prize winning photograph of an Iraqi election worker being killed on Haifa Street. The effective riposte again turned out to be finding ways to break the reportorial stranglehold the enemy had established. The information blockade runners turned out to be bloggers and journalists embedded in the military, of whom Michael Yon is perhaps the most famous. The Iraqi bloggers were protected by their anonymity and the embedded journalists were protected by coalition troops. These reporters outflanked the wall of ""access journalism"" which was gradually restricting the majors and created alternative sources of reportage. Although few in number these blockade runners played a pivotal role in penetrating the ""bodyguard of lies"" with which al-Qaeda and the Sunni insurgency had surrounded itself.","at0800300_5.text","Conservative",3,"at"
"6","Mike Huckabee is pretty slick. He's the one Republican who's been boosted by the big media. Those media headlines got him off to a fast start. But a couple of days ago he got the press laughing at his shenanigans with his ""I'm NOT negative!"" press conference. ""Mike Huckabee said Monday he wouldn't run a TV ad he'd prepared blistering Republican rival Mitt Romney as dishonest. Then he showed it to a room packed with reporters and cameramen.""  So Huckabee is talking to a giant media fest with dozens of TV cameras, surrounded by five anti-Mitt posters.  But he's very come-to-Jesus about it. You see, he's not actually going to run that negative ad on Mitt, because he's a good person. And just to show the press that he had the negative ad all ready to run, he'll tell them all the Mitt criticisms he's not going to put on TV. ""We have run it positive. We have gotten here by being positive.""   Even the reporters laughed it up.  So Huckabee tried to get his negative ad out for free, and still got to claim that he was being positive. Is that slick or what? It's like the guy whose wife tells him he sounds angry, and he screams at her, ""I'm NOT MAD!!"" A lot of people like Huckabee in person, but he looks like a basically angry man to me. At his pheasant hunting press show he ended up shooting his 20-gauge shotgun over the heads of the onlookers. That's just lousy firearms safety, as any hunter knows.  But Huck wasn't sorry. He said it was his way of telling Mitt Romney just ""don't get in my way."" The press asked him if he really meant to say that, and he just said it again. He did mean it. You just don't do that in a presidential primary. This isn't High Noon in Dodge City. Blasting your shotgun over the heads of the press looks like an impulsive action, by a man who allows his anger to take over his judgment. This is the same guy who's written a book called, ""Kids who kill: Confronting Our Culture of Violence.""  But he didn't set a good example by shooting off his shotgun over people's heads. Huck's not a conservative but a populist politician, like Bill Clinton and Jimmy Carter.  ""I'm out to change the Republican Party"" is his way of saying it. But then he calls himself a  conservative.  Huckabee isn't good on foreign policy, so he makes really basic mistakes. His advisors just say ""he wasn't briefed"" on things like Pakistan and the assassination of Bhutto. The trouble is that a president can't just brush up on this dangerous world when some headline story comes up. He's got to be ahead of the curve. A US president should know that Pakistan has been at the center of the war on terror since before 9/11/01, when  the Taliban  sheltered Osama Bin Laden. Pakistan's intelligence service set up the Taliban in the first place. Today it looks like the same AQ-Taliban goons killed Benazir Bhutto.  This can't be news to a presidential candidate. And that's only Pakistan: What about Russia, China, the Middle East? It's just not good enough. America can't settle for a politician who's not up to speed, and who violates firearms safety rules to send a political message. We can't afford a politician who plays the liberal media against the conservative base. Let's leave the slicksters to the Democrats. We have better candidates. James Lewis blogs at dangeroustimes.wordpress.com/","at0800300_6.text","Conservative",3,"at"
"7","In the aftermath of the ""upset"" victories in yesterday's Iowa caucus by Republican Mike Huckabee and Democrat Barack Obama, both the mainstream media and the political commentariat are in a lather over what these results portend for the 2008 presidential race.   The answer:  Very little.The history of the Iowa caucus shows that it is a poor predictor of who the eventual presidential nominees will be, let alone who will win the general election.  For example:In 1972, the eventual Democratic nominee George McGovern came in second to Edmund Muskie.In 1976, the eventual Democratic nominee, and winner of the general election, Jimmy Carter came in second to an ""uncommitted"" slate of delegates.In 1980, George H.W. Bush bested Ronald Reagan in the Republican caucus.In 1988, both George H.W. Bush and Michael Dukakis, the eventual nominees of their respective parties, came in third.In 1992, Democrat Tom Harkin won his party's caucus.Indeed, the only non-incumbent to win his party's caucus and then go on to win the general election was George W. Bush in 2000.Moreover, we should not forget that Iowa is far from representative of the nation as a whole, either in terms of demographics or economics.  So the fact that a particular candidate appeals to a plurality of his party's voters in Iowa does not tell us how well he or she will do in other state primaries.  In short, the fact that Huckabee and Obama earned first place honors in this year's Iowa caucus tells us nothing about their respective candidacies that we didn't already know, to wit, that they are serious candidates for their party's nomination.That being said, I believe the ""message"" out of Iowa is very different for the Democratic and Republican front-runners.For the Democrats, Obama's victory, and John Edwards' second-place finish, clearly indicates that Hillary Clinton's nomination is not inevitable and that she has much to worry about heading into New Hampshire and Super Tuesday.  A few weeks ago I offered my thoughts on how an Obama nomination very likely will lead to a Republican victory in 2008.  Go Obama!  http://www.americanthinker.com/2007/12/hillarys_stumble_could_be_grea.html  For the Republicans, I think Huckabee's strong win indicates that the race for the nomination remains wide-open, and that none of the party's presumptive leaders - Giuliani, Romney, McCain, and Thompson - has established himself as the candidate to beat.  I remain convinced that one of these four candidates, not Huckabee, will win the Republican nomination.  Probably Giuliani or Romney, whom I consider to be the top two Republican candidates.  For Giuliani supporters, among whom I count myself, Romney's failure to win in Iowa augers well for their candidate.  Giuliani's strategy to ignore Iowa may have been fatal had Romney won in Iowa and then won in New Hampshire (boosted by his Iowa win).  Now it appears that the ""hype"" coming out of Iowa will be about Huckabee, and that, without a boost for Romney, McCain may win in New Hampshire.  This means that going into Super Tuesday, there still won't be a clear front-runner among the Republicans, and both Giuliani and Romney will have an opportunity to make their presidential fortunes on February 5.Steven M. Warshawsky  smwarshawsky@hotmail.com","at0800400_0.text","Conservative",4,"at"
"8","FrontPage.Com has an editorial up this morning pointing out the deficiencies of both of the Iowa winners last night; Barack Obama and Mike Huckabee:Last night, Iowa caucus-goers had the opportunity to vote for a wide variety of candidates who possessed foreign policy sagacity, an aggressive plan to fight sponsors of terrorism, and the competence and breadth of experience to lead the nation during the War on Terror – and the plurality of neither party chose to do so. Instead, they selected affable and charismatic figures who appeal to portions of the party’s base but who lack credibility on national security – an unsettling reality in a post-9/11 world. [snip] Today, he’s running to become commander-in-chief of the forces fighting that ""dumb war,"" a description certain to erode morale. While always careful to note the troops’ courage and valor, he also talks down their grand accomplishments at defeating al-Qaeda in Mesopotamia. On his website currently, Obama writes during the present surge, ""our troops have helped reduce violence in some areas of Iraq, but even those reductions do not get us below the unsustainable levels of violence of mid-2006."" This is both disspiriting and false. The New York Times reported late last month that ""violent attacks in the country had fallen by 60 percent since June."" Rather than the surge, which has driven al-Qaeda out of Anbar Province, Obama would have removed all U.S. troops by this March. The Obama Plan offers ""at least $2 billion to expand services to Iraqi refugees in neighboring countries."" But thanks to the Bush surge, in October alone, 110,000 refugees returned to the newly pacified Iraq. Nor has our present military success taught him anything. He now pledges to ""have all of our combat brigades out of Iraq within 16 months."" Who will take America’s place in newly destabilized Baghdad? Phantom troops and bearded mullahs.It is frightening to consider the idea that a man who thinks his living abroad as a child gives him suitable foreign policy experience to be president is now the front runner for the Democratic nomination. And Republicans didn't do any better in choosing a candidate last night: Huckabee believes Bush has been far too demanding. ""Instead of asking if someone is for us, instead of demanding that every ally be at the level of Great Britain, I will ask if we should be for them, if they can be useful in any way, however limited, however temporary.""But that was exactly the plea President Bush made when he uttered that phrase. Huckabee demonstrates exactly how he is willing to go slumming for support, noting in his Iraq policy, ""I support a regional summit so that Iraq's neighbors become militarily and financially committed to stabilizing Iraq."" Iraq’s ""neighbors"" include Iran and Syria. His feckless goodwill extends to Western Hemisphere dictators, as well. In 2002, the then-Arkansas governor signed a letter asking President Bush to lift the embargo against Castro’s Cuba. After receiving Cuban-American support in Florida, presidential candidate Huckabee reversed himself. What changed? Huckabee’s reply betrayed an impolitic sense of opportunism: ""Well, what changed was I’m running for president."" One, a dangerously naive neophyte the other a feckless dunce. Let's hope both parties can do better down the road.","at0800400_1.text","Conservative",4,"at"
"9","An influential policy outfit, the International Crisis Group, has called on President Musharraf to step down.Citing ""A Way Forward in Pakistan,"" the ICG, which is made up of scholars and former diplomats, believes that the Pakistani president is an obstacle to stability:If Pakistan is to be stable in the wake of Benazir Bhutto’s murder, President Pervez Musharraf must resign and a quick transition follow to a democratically elected civilian government. After Bhutto’s Murder: A Way Forward for Pakistan*, the latest briefing from the International Crisis Group, concludes that Musharraf, who seized power in a 1999 coup, is no longer, if he ever was, a factor for stability. Particularly the U.S. must recognise he is a serious liability, seen as complicit in the death of the popular politician. Unless he steps down, tensions will worsen and the international community could face the nightmare of a nuclear-armed, Muslim country descending into civil war from which extremists would stand to gain. “Bhutto’s death has drawn the battle lines even more clearly between Musharraf’s military-backed regime and Pakistan’s moderate majority, which will settle for nothing less than genuine parliamentary democracy”, says Mark Schneider, Crisis Group's Senior Vice-President. These foreign policy bluebloods don't explain how exactly Pakistan gets from Point A (Musharraf) to Point B (a ""quick transition"" to democratic government). There's the little matter of the Pakistani military not to mention an intelligence service hostile to democracy itself. Short of an invasion by a foreign power to force the issue of an election held in a vacuum of power, it's very difficult to see how Pakistan achieves ""a quick transition"" to anything except chaos. Musharraf is not a creation of the Bush Administration. He came to power in 1999 for reasons having nothing to do with America and everything to do with the internal dynamics of Pakistani politics and the long time uneasy relationship between the civilian government and the military. His agenda is not Washington's or the International Community's agenda. This has made him an enormously troubling and difficult ally in the War on Terror. But an ally he is. And to consider throwing Musharraf off the bus at this point is pretty close to madness. It is he that is standing between the extremists and Pakistan's nuclear arsenal. And as unreliable as he might be, Musharraf is still someone who can get the process rolling toward democracy.","at0800400_2.text","Conservative",4,"at"
"10","Goodbye Iowa for 4 more years. But the Hawkeye State may have crowned the new President this time: Barack Obama. I believe he will be very hard to stop now, both for the nomination and the general election if he is nominated, given how shattered the GOP is (that race is wide open, with a slight edge to John McCain). This is, in my opinion, very bad news for American national security and for Israel. Our enemies will not disappear because a new President wants to concentrate on stem cell research or global warming or universal health care. Obama is a candidate from the pacifist left side of the Democratic Party with little knowledge of the Middle East (he has spent most of his time in the Senate running for President) and in my opinion, his positions are wrong or naive. Obama believes we can talk to Iran, and Hamas, and maybe even Al Qaeda, and work with them, if we are more open to their concerns and less aggressive and bullying. And of course we must get out of Iraq quickly (leaving the place for Iran and Al Qaeda to divvy up).  No, there are real bad guys in that part of the world, and they want to kill us, dominate us, obliterate Israel and eventually destroy our western civilization. There is a global jihad, but thinking about it makes many people uncomfortable. Obama is running as the political messiah, rising above pettiness, and the old politics But I fear the emperor has no clothes. Given the turnout in the Democratic race, almost double the GOP turnout, the passion and excitement appears to be all on one side. Mike Huckabee has been run down by the GOP establishment and many pundits. I have not joined in that slaughter effort to date. While I think he would be a terrible GOP candidate in a general election, he is tapping into something real as well -- a general uneasiness   among many American about their economic future.  Obama and Edwards, with his Naderite hateful rhetoric about corporations, also addressed this. But none of them have real answers to complex problems of energy supply and pricing, trade imbalances, the weak dollar, health care spending and program costs, the rise of China, the power of sovereign wealth funds, and how to spur the economy (taxing the rich more heavily, or shifting the tax burden from the middle class to wealthier Americans will not create economic growth or cut budget or trade deficits.Richard Baehr is political director of American Thinker.","at0800400_3.text","Conservative",4,"at"
